Model,Accuracy,Precision,Recall,F1-score
KNN,0.8688524590163934,0.8571428571428571,0.9090909090909091,0.8823529411764706
SVM,0.8032786885245902,0.7837837837837838,0.8787878787878788,0.8285714285714286
