mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012758684158325196,0.0003321227595548243,0.002543735504150391,5.909461197077942e-05,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.8571428571428571,0.8125,0.8333333333333334,0.8125,0.8541666666666666,0.8339285714285716,0.019324622715176085,1
0.012599420547485352,0.00014913293858343098,0.002572441101074219,0.00010970183686253845,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8125,0.8125,0.8297619047619047,0.016560033027670885,2
0.013082504272460938,0.002518019931351719,0.0034890174865722656,0.0006572080851712514,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.011143827438354492,0.001522797741503293,0.002593660354614258,0.0010489925091198423,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.013385915756225586,0.001937093077161767,0.002328157424926758,0.00030642251073011384,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.009633302688598633,0.0006351088785868812,0.002295398712158203,0.0003794585078653735,0.1,0.01,linear,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.00876913070678711,0.0004966519985767597,0.002097415924072266,0.00011771741032789064,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.009300947189331055,0.0006998297104382889,0.002018260955810547,9.965022746929344e-05,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8367346938775511,0.8125,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.8256802721088435,0.021554067781694865,3
0.014959383010864257,0.0015475065728662698,0.0028619289398193358,0.00018669446875050672,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8163265306122449,0.8333333333333334,0.8125,0.8125,0.8333333333333334,0.8215986394557824,0.00968268240055834,9
0.014036226272583007,0.0013378996120967006,0.0018074989318847656,0.00025982578032467617,1.0,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8367346938775511,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.821513605442177,0.025374354834938582,10
0.01425628662109375,0.0012593335375744536,0.0019676685333251953,4.671544216749041e-05,1.0,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8367346938775511,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.821513605442177,0.025374354834938582,10
0.01266775131225586,0.0015358065365271866,0.0018889427185058594,0.00031788968483123097,1.0,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8367346938775511,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.821513605442177,0.025374354834938582,10
0.014402294158935547,0.0012781399892367587,0.002021455764770508,9.66672061439858e-05,1.0,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.8367346938775511,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.821513605442177,0.025374354834938582,10
0.01500110626220703,0.001826189933753465,0.0019098281860351562,2.961600235417998e-05,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.8367346938775511,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8541666666666666,0.821513605442177,0.025374354834938582,10
